profile,n,noise_std,method,target_id,seeds,mse,bias_squared,variance,residual_capture_mean,params,selection_examples,fitting_examples,total_unique_examples,charged_seconds_mean,mse_sd,mse_ci_low,mse_ci_high
concentrated,64,0.5,gradient,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.04292260276371953,0.003566808123298973,0.039355794640420556,0.07113903978879535,128,64,64,64,1.579531716744532,0.002948655071791512,0.04154258971055797,0.04430261581688109
concentrated,64,0.5,lora,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.14584295445891446,0.020929231294729372,0.1249137231641851,,1024,0,64,64,1.506092183146393,0.007433432926362081,0.1423640007602209,0.149321908157608
concentrated,64,0.5,random,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.0181934827738404,0.003504714409439648,0.014688768364400745,0.002629341989177192,128,64,64,64,1.5797259451996069,0.001474932094139338,0.0175031933052921,0.018883772242388696
concentrated,64,0.5,snip,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.04110449729592837,0.0035032856754896435,0.03760121162043873,0.05004531519284683,128,64,64,64,1.5779453948955051,0.0037764650116710176,0.039337057265125604,0.042871937326731134
concentrated,64,0.5,snip_independent,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.030249446992702413,0.0037004313890650576,0.026549015603637365,0.009167655326018575,128,32,32,64,1.5798727104673163,0.0021310012700251047,0.02925210769823154,0.031246786287173284
concentrated,64,0.5,snip_same_half,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.04871413726514013,0.004023486524696869,0.04469065074044326,0.006077130750963988,128,32,32,32,1.5776385528966785,0.0037081927752552605,0.04697864962453844,0.05044962490574182
concentrated,64,1.0,compressed,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.03830077534374586,0.004543718889850325,0.033757056453895554,,128,0,64,64,1.5616479475516827,0.003299935374922201,0.036756358048027585,0.039845192639464136
concentrated,64,1.0,energy,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.02691730641304927,0.002657235806081109,0.02426007060696816,0.9920641779899597,128,64,64,64,1.577838788452209,0.002497126765822968,0.025748615111987366,0.028085997714111174
concentrated,64,1.0,gradient,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.08195098708388425,0.006130192234518437,0.0758207948493658,0.003489518440619577,128,64,64,64,1.579749689711025,0.004234618493970398,0.07996912462301392,0.08393284954475458
concentrated,64,1.0,lora,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.2201596176975363,0.028525514414204558,0.1916341032833318,,1024,0,64,64,1.5072689919586992,0.01937076722632449,0.21109381957220982,0.2292254158228628
concentrated,64,1.0,random,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.029009080721676093,0.004260046860418271,0.024749033861257822,0.002629341988995293,128,64,64,64,1.5789733057143167,0.0018545435265576173,0.028141127633914343,0.029877033809437844
concentrated,64,1.0,snip,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.07651099591377178,0.0056926233494384686,0.0708183725643333,0.0033267902690568008,128,64,64,64,1.5779866621625842,0.005614089090060338,0.0738835213406987,0.07913847048684486
concentrated,64,1.0,snip_independent,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.045344098338212235,0.00465821046043003,0.04068588787778221,0.005374840419426619,128,32,32,64,1.5792325252434238,0.00405742425978543,0.043445165331675015,0.047243031344749456
concentrated,64,1.0,snip_same_half,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.08204726595397013,0.00607781976051203,0.0759694461934581,0.005470211680221837,128,32,32,32,1.5781338143511676,0.00488357584569104,0.07976168210334243,0.08433284980459783
concentrated,256,0.25,compressed,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.0046029195872098775,0.0025324114988781654,0.002070508088331713,,128,0,256,256,1.565570781743736,0.00028923362512059273,0.004467554083832385,0.00473828509058737
concentrated,256,0.25,energy,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.0019503174955666663,0.0003297829299813474,0.0016205345655853187,0.9920641779899597,128,256,256,256,1.5818517508509102,0.0002229742796191132,0.0018459623204438202,0.0020546726706895126
concentrated,256,0.25,gradient,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.004733261419438051,0.0004888898240804459,0.0042443715953576055,0.5391664445400238,128,256,256,256,1.5812135906511684,0.0004151719284786484,0.004538954975768907,0.004927567863107195
concentrated,256,0.25,lora,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.03722908218459957,0.005197689705175703,0.032031392479423874,,1024,0,256,256,1.512547114957124,0.0019148082948463134,0.03633292431707915,0.03812524005211999
concentrated,256,0.25,random,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.004447955036542662,0.0025780805480257857,0.0018698744885168761,0.0026293419941794127,128,256,256,256,1.5804628835554468,0.0002131905489624335,0.004348178788315674,0.00454773128476965
concentrated,256,0.25,snip,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.004869356073374543,0.0006918580729095757,0.004177498000464965,0.4074400386540219,128,256,256,256,1.5806184757035227,0.0005140573907469412,0.004628769808778345,0.00510994233797074
concentrated,256,0.25,snip_independent,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.005286174833987542,0.0010831667004911985,0.0042030081334963445,0.347899145195106,128,128,128,256,1.5803472875530133,0.0005693517128821188,0.005019710030038858,0.005552639637936225
concentrated,256,0.25,snip_same_half,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.009393491950959627,0.0010444758671047261,0.0083490160838549,0.265401146149361,128,128,128,128,1.5815071024553617,0.0006566166170795336,0.009086185914671701,0.009700797987247553
concentrated,256,0.5,compressed,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.00978321125104921,0.0027927890926521017,0.006990422158397106,,128,0,256,256,1.5664354579494102,0.000776061400071037,0.009420003335549558,0.01014641916654886
concentrated,256,0.5,energy,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.005692839267877505,0.0006094931124273936,0.005083346155450112,0.9920641779899597,128,256,256,256,1.582924213912338,0.0006483353402702728,0.005389408988439863,0.005996269547315147
concentrated,256,0.5,gradient,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.018675965478341883,0.0014039543518942006,0.017272011126447682,0.3823870960124623,128,256,256,256,1.582313242793316,0.001471857322978046,0.017987115046993515,0.01936481590969025
concentrated,256,0.5,lora,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.08714310414875459,0.012040732225254897,0.07510237192349974,,1024,0,256,256,1.5138885293505155,0.0038862264422663165,0.08532429418716396,0.08896191411034522
concentrated,256,0.5,random,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.008447633136700406,0.002841717649437381,0.005605915487263024,0.00262934198954099,128,256,256,256,1.5815197534568142,0.0005899721442513113,0.008171517673804347,0.008723748599596464
concentrated,256,0.5,snip,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.016740465870074828,0.0017181515711190516,0.015022314298955777,0.18619022232714996,128,256,256,256,1.5812469086406054,0.0014407280817622025,0.016066184372076395,0.01741474736807326
concentrated,256,0.5,snip_independent,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.014439914154647168,0.002304035647595077,0.01213587850705209,0.12215625748322054,128,128,128,256,1.5809799546550494,0.0016928013322240862,0.01364765874395948,0.015232169565334856
concentrated,256,0.5,snip_same_half,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.02992293342643878,0.0028823229455898817,0.0270406104808489,0.07499549163367192,128,128,128,128,1.5828222990530776,0.002055219790199963,0.028961060956265893,0.030884805896611665
concentrated,256,1.0,compressed,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.020888384600962387,0.0034314749209653967,0.01745690967999698,,128,0,256,256,1.5663677521952195,0.0015813169833502885,0.02014830547163798,0.021628463730286793
concentrated,256,1.0,energy,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.0127871551117732,0.0011338886227063015,0.011653266489066897,0.9920641779899597,128,256,256,256,1.5822286693000933,0.0013821483723137876,0.012140289761720519,0.013434020461825881
concentrated,256,1.0,gradient,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.049805560815742174,0.003580419222591273,0.04622514159315087,0.036487062340074775,128,256,256,256,1.5820374148519476,0.002316984642447222,0.04872117862362319,0.050889943007861156
concentrated,256,1.0,lora,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.154875587936881,0.020801217161830726,0.1340743707750503,,1024,0,256,256,1.5128645001444965,0.006840827255863301,0.151673982229307,0.158077193644455
concentrated,256,1.0,random,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.01594109859571746,0.0033624438287854297,0.01257865476693203,0.002629341988267697,128,256,256,256,1.5810936484020204,0.0012424997881015777,0.015359590794912236,0.01652260639652268
concentrated,256,1.0,snip,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.043219577246917364,0.0037384069382588826,0.039481170308658484,0.024555090256217226,128,256,256,256,1.5809485821489944,0.002980696954148348,0.04182456813120399,0.044614586362630736
concentrated,256,1.0,snip_independent,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.02950345644965669,0.00361601949843355,0.025887436951223124,0.0048569262883574995,128,128,128,256,1.5804303133510984,0.0031231151290627432,0.028041793576347354,0.030965119322966028
concentrated,256,1.0,snip_same_half,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.06556607760562312,0.005469286686779397,0.06009679091884372,0.0015140212084588712,128,128,128,128,1.5817400186497252,0.004095782476387048,0.06364919240111178,0.06748296281013447
concentrated,1024,0.25,compressed,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.0029275972385238254,0.002443331950769003,0.0004842652877548227,,128,0,1024,1024,1.5663151360931806,7.747900726010039e-05,0.0028913359469309855,0.002963858530116665
concentrated,1024,0.25,energy,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.0006058728901753626,0.00021103685194024202,0.0003948360382351205,0.9920641779899597,128,1024,1024,1024,1.5822647053108085,8.019719429492243e-05,0.0005683394478908823,0.0006434063324598429
concentrated,1024,0.25,gradient,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.0010712728513187744,0.00031610072961517723,0.0007551721217035968,0.5572908639907836,128,1024,1024,1024,1.5827859415963759,0.00011589416594309035,0.0010170327120373884,0.0011255129906001604
concentrated,1024,0.25,lora,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.007013639128028113,0.0010580961545761404,0.005955542973451973,,1024,0,1024,1024,1.5109874894085806,0.0002910766611630127,0.006877411057231216,0.007149867198825009
concentrated,1024,0.25,random,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.002962936696361506,0.002457917421355066,0.00050501927500644,0.00262934198781295,128,1024,1024,1024,1.5821130235883174,7.991327546969761e-05,0.002925536132177485,0.003000337260545527
concentrated,1024,0.25,snip,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.0014071617024853924,0.0005305366698156535,0.0008766250326697389,0.4492375016212463,128,1024,1024,1024,1.581939523658366,0.00023590816395241716,0.0012967532831635912,0.0015175701218071937
concentrated,1024,0.25,snip_independent,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.0018263020853141274,0.0006628953916888692,0.0011634066936252589,0.34750850817072204,128,512,512,1024,1.5814203276619083,0.00025058456681890007,0.0017090248980163897,0.0019435792726118651
concentrated,1024,0.25,snip_same_half,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.0024168116204465436,0.0005592186546876771,0.0018575929657588665,0.38242347044870256,128,512,512,512,1.5812815869488985,0.00035778635634502805,0.0022493624512565833,0.002584260789636504
concentrated,1024,0.5,compressed,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.004218928933901288,0.0025032160646856357,0.0017157128692156525,,128,0,1024,1024,1.567278222501045,0.0002971827260251813,0.004079843136782362,0.004358014731020214
concentrated,1024,0.5,energy,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.0015551775276239107,0.0002938229395007592,0.0012613545881231512,0.9920641779899597,128,1024,1024,1024,1.583429834697745,0.000244821539518305,0.001440597520127443,0.0016697575351203786
concentrated,1024,0.5,gradient,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.004113209322750412,0.0005635719785772263,0.0035496373441731865,0.5257566437125206,128,1024,1024,1024,1.584077178494772,0.00045126352084464837,0.0039020114939033452,0.004324407151597478
concentrated,1024,0.5,lora,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.027587490887786927,0.0036888269936035745,0.023898663894183363,,1024,0,1024,1024,1.5126881959527965,0.001119682752483666,0.027063463229004672,0.02811151854656918
concentrated,1024,0.5,random,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.003928898588072442,0.002513476713026818,0.0014154218750456248,0.0026293419892681412,128,1024,1024,1024,1.5833434579049936,0.00023016751358792762,0.003821176875823442,0.0040366203003214425
concentrated,1024,0.5,snip,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.003956710595005452,0.0010321653752358457,0.0029245452197696063,0.27776741210518596,128,1024,1024,1024,1.5829313746042317,0.0006945379555608899,0.0036316568259975243,0.004281764364013379
concentrated,1024,0.5,snip_independent,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.004913435849316454,0.0013416363873195172,0.0035717994619969364,0.2304273356462545,128,512,512,1024,1.5824029798444825,0.0006581801202418397,0.004605398071024084,0.005221473627608823
concentrated,1024,0.5,snip_same_half,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.007944837613070794,0.001296211979555346,0.006648625633515451,0.20909903459942142,128,512,512,512,1.5823539384960896,0.0007547487297948567,0.007591604334299673,0.008298070891841914
concentrated,1024,1.0,compressed,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.007618439127126915,0.0026902087042016565,0.0049282304229252595,,128,0,1024,1024,1.5541983256058303,0.0009100600098728684,0.007192517931799767,0.008044360322454062
concentrated,1024,1.0,energy,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.003707770052953785,0.0004979805162321016,0.0032097895367216842,0.9920641779899597,128,1024,1024,1024,1.5700671782455173,0.000602848915165139,0.0034256280757618864,0.003989912030145684
concentrated,1024,1.0,gradient,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.013484040731332695,0.001562117416735063,0.01192192331459763,0.2646519654033909,128,1024,1024,1024,1.5709928710508394,0.0016036634309967276,0.012733503142577447,0.014234578320087943
concentrated,1024,1.0,lora,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.0776114262348692,0.009373655143374451,0.06823777109149476,,1024,0,1024,1024,1.5002739411516814,0.0033923559896866214,0.076023754759991,0.07919909770974741
concentrated,1024,1.0,random,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.00617365342206587,0.002655903777187127,0.0035177496448787426,0.002629341987085354,128,1024,1024,1024,1.570679430005839,0.0005744348512173824,0.005904809636146458,0.006442497207985283
concentrated,1024,1.0,snip,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.01010267465775363,0.002224209670494747,0.007878464987258884,0.05441739364905516,128,1024,1024,1024,1.5696027848520315,0.001024658542792187,0.009623119698065655,0.010582229617441605
concentrated,1024,1.0,snip_independent,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.011486949348961259,0.0025315761837309964,0.008955373165230266,0.05723551927303561,128,512,512,1024,1.5700468787370483,0.0012251035959146303,0.010913583216716377,0.012060315481206141
concentrated,1024,1.0,snip_same_half,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.02100927556355161,0.0027551741202558122,0.018254101443295794,0.028195245887809507,128,512,512,512,1.570182527191355,0.002541010114735992,0.01982004622299646,0.02219850490410676
concentrated,4096,0.25,compressed,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.002571069814224614,0.0024316055388185196,0.00013946427540609423,,128,0,4096,4096,1.5467766921035946,2.1634964404094103e-05,0.002560944339201116,0.002581195289248112
concentrated,4096,0.25,energy,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.0003060033086449656,0.00019595190205056742,0.0001100514065943982,0.9920641779899597,128,4096,4096,4096,1.5657037105382188,2.1638405486326277e-05,0.0002958762231454093,0.0003161303941445219
concentrated,4096,0.25,gradient,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.0005205425136379938,0.00031867466927356335,0.00020186784436443048,0.5655553042888641,128,4096,4096,4096,1.5651715944433817,4.343552865230395e-05,0.0005002140604782508,0.0005408709667977369
concentrated,4096,0.25,lora,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.0014397916503997785,0.0003739005095801895,0.0010658911408195893,,1024,0,4096,4096,1.495814529355266,8.134167043395327e-05,0.001401722576794428,0.001477860724005129
concentrated,4096,0.25,random,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.002647573724605356,0.002457518505648017,0.00019005521895733925,0.002629341989631939,128,4096,4096,4096,1.566076845995849,4.660760467317647e-05,0.0026257606941695855,0.0026693867550411266
concentrated,4096,0.25,snip,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.0008380255426733858,0.0005734984179129344,0.0002645271247604514,0.4608002733439207,128,4096,4096,4096,1.5651501332002227,0.00013454573114168826,0.0007750562021767759,0.0009009948831699957
concentrated,4096,0.25,snip_independent,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.0009640712886859496,0.0005815044714914375,0.00038256681719451235,0.4377515450119972,128,2048,2048,4096,1.5663132162531839,0.00013704148005053848,0.000899933901745191,0.0010282086756267083
concentrated,4096,0.25,snip_same_half,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.0009939058136981614,0.0005147000304461466,0.00047920578325201497,0.39872065410017965,128,2048,2048,2048,1.5655337882984894,0.0001912823085690639,0.000904382937594581,0.0010834286898017418
concentrated,4096,0.5,compressed,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.00292191819296653,0.0024451472202388002,0.0004767709727277302,,128,0,4096,4096,1.5454777420556638,7.481809731998788e-05,0.0028869022455598487,0.002956934140373211
concentrated,4096,0.5,energy,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.0005981057143553536,0.0002544801177697192,0.0003436255965856345,0.9920641779899597,128,4096,4096,4096,1.5653011681395583,6.435128925275617e-05,0.0005679883839133689,0.0006282230447973382
concentrated,4096,0.5,gradient,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.001190016506486741,0.0005085880180243483,0.0006814284884623922,0.5289846301078797,128,4096,4096,4096,1.565220816252986,0.00012946402969213268,0.0011294254754776478,0.001250607537495834
concentrated,4096,0.5,lora,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.005070592264951073,0.0008704992187631131,0.004200093046187961,,1024,0,4096,4096,1.4948777974990661,0.0002879905656349118,0.004935808531320916,0.00520537599858123
concentrated,4096,0.5,random,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.0029098014774044303,0.002489428223222734,0.0004203732541816963,0.0026293419879948486,128,4096,4096,4096,1.565369542344706,8.493003694154358e-05,0.002870052996578013,0.0029495499582308476
concentrated,4096,0.5,snip,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.0018116949919460932,0.000960896264732992,0.000850798727213101,0.23744603088671284,128,4096,4096,4096,1.564510166598484,0.00035876286479895363,0.0016437888027317047,0.0019796011811604817
concentrated,4096,0.5,snip_independent,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.0021784015682867726,0.0009987669068382012,0.0011796346614485716,0.2548386643640697,128,2048,2048,4096,1.5652609165466855,0.00039902385076861813,0.0019916526576219114,0.002365150478951634
concentrated,4096,0.5,snip_same_half,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.0024686457371637287,0.0009488902907308497,0.0015197554464328792,0.2666338695387367,128,2048,2048,2048,1.5648127865133574,0.00038614399358772515,0.0022879247852121564,0.002649366689115301
concentrated,4096,1.0,compressed,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.00387941648661679,0.0024945228795110047,0.0013848936071057852,,128,0,4096,4096,1.5450026758015156,0.00023078793201323914,0.0037714044096067356,0.003987428563626844
concentrated,4096,1.0,energy,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.001304487950037268,0.00040338011500089206,0.0009011078350363759,0.9920641779899597,128,4096,4096,4096,1.563199429595261,0.00017709934694434351,0.0012216029042997575,0.0013873729957747786
concentrated,4096,1.0,gradient,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.003353805260969233,0.0012052664483777997,0.002148538812591434,0.3335250112457288,128,4096,4096,4096,1.563221204149886,0.0006170521790412764,0.003065015951665118,0.0036425945702733475
concentrated,4096,1.0,lora,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.020184054931958937,0.0026899520231741126,0.01749410290878483,,1024,0,4096,4096,1.4932978880475276,0.0007951187897503585,0.019811927883540605,0.02055618198037727
concentrated,4096,1.0,random,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.0035528478955191454,0.0025624770315483695,0.0009903708639707762,0.0026293419885405457,128,4096,4096,4096,1.5639673884841614,0.0002198250380116085,0.0034499666108379085,0.0036557291802003823
concentrated,4096,1.0,snip,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.0035539705307791975,0.00171860125184422,0.0018353692789349779,0.1132338871707134,128,4096,4096,4096,1.5626373611507005,0.00051440291567583,0.0033132225555385034,0.0037947185060198917
concentrated,4096,1.0,snip_independent,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.004630816193514434,0.00190149514414589,0.002729321049368545,0.11217811914821141,128,2048,2048,4096,1.5626817359094276,0.0006093941727184172,0.004345610941493872,0.004916021445534996
concentrated,4096,1.0,snip_same_half,f343dc8618448c0c9d0e37927b8e6f50dc169343e536bdaae4bfce436cb39630,20,0.005499425418939689,0.0018356124746376952,0.0036638129443019953,0.10366067009344988,128,2048,2048,2048,1.562374665439711,0.000603155600253234,0.005217139908708327,0.005781710929171051
diffuse,64,0.25,compressed,82a8db1d1a8818d5c70195f5dd662c8928cafd785f34afc6223fdd840b5afa83,20,0.0110305268122723,0.0031708448263804106,0.00785968198589189,,128,0,64,64,1.5417777578986716,0.0011141080607314433,0.010509108189541438,0.011551945435003163
